Acton Town;Ealing Common;Piccadilly Line;2
Acton Town;South Ealing;Piccadilly Line;4
Acton Town;Turnham Green;Piccadilly Line;3
Aldgate;Liverpool Street;Circle Line;2
Aldgate;Liverpool Street;Metropolitan Line;2
Aldgate;Tower Hill;Circle Line;4
Aldgate East;Liverpool Street;Hammersmith & City Line;4
Aldgate East;Tower Hill;District Line;2
Aldgate East;Whitechapel;District Line;2
Aldgate East;Whitechapel;Hammersmith & City Line;2
All Saints;Devons Road;Docklands Light Railway;2
All Saints;Poplar;Docklands Light Railway;2
Alperton;Park Royal;Piccadilly Line;3
Alperton;Sudbury Town;Piccadilly Line;2
Amersham;Chalfont & Latimer;Metropolitan Line;4
Angel;King's Cross St. Pancras;Northern Line;2
Angel;Old Street;Northern Line;3
Archway;Highgate;Northern Line;3
Archway;Tufnell Park;Northern Line;2
Arnos Grove;Bounds Green;Piccadilly Line;3
Arnos Grove;Southgate;Piccadilly Line;3
Arsenal;Finsbury Park;Piccadilly Line;2
Arsenal;Holloway Road;Piccadilly Line;1
Baker Street;Bond Street;Jubilee Line;2
Baker Street;Edgware Road (C);Circle Line;3
Baker Street;Edgware Road (C);Hammersmith & City Line;3
Baker Street;Finchley Road;Metropolitan Line;6
Baker Street;Great Portland Street;Circle Line;3
Baker Street;Great Portland Street;Hammersmith & City Line;3
Baker Street;Great Portland Street;Metropolitan Line;3
Baker Street;Marylebone;Bakerloo Line;1
Baker Street;Regent's Park;Bakerloo Line;2
Baker Street;St. John's Wood;Jubilee Line;4
Balham;Clapham South;Northern Line;2
Balham;Tooting Bec;Northern Line;1
Bank;Liverpool Street;Central Line;2
Bank;London Bridge;Northern Line;2
Bank;Moorgate;Northern Line;3
Bank;Shadwell;Docklands Light Railway;2
Bank;St. Paul's;Central Line;2
Bank;Waterloo;Waterloo & City Line;4
Barbican;Farringdon;Circle Line;1
Barbican;Farringdon;Hammersmith & City Line;1
Barbican;Farringdon;Metropolitan Line;1
Barbican;Moorgate;Circle Line;2
Barbican;Moorgate;Hammersmith & City Line;2
Barbican;Moorgate;Metropolitan Line;2
Barking;East Ham;District Line;4
Barking;East Ham;Hammersmith & City Line;4
Barking;Upney;District Line;2
Barkingside;Fairlop;Central Line;2
Barkingside;Newbury Park;Central Line;2
Barons Court;Earl's Court;Piccadilly Line;3
Barons Court;Hammersmith;District Line;1
Barons Court;Hammersmith;Piccadilly Line;2
Barons Court;West Kensington;District Line;2
Bayswater;Notting Hill Gate;Circle Line;2
Bayswater;Notting Hill Gate;District Line;2
Bayswater;Paddington;Circle Line;2
Bayswater;Paddington;District Line;2
Beckton;Gallions Reach;Docklands Light Railway;2
Beckton Park;Cyprus;Docklands Light Railway;2
Beckton Park;Royal Albert;Docklands Light Railway;2
Becontree;Dagenham Heathway;District Line;3
Becontree;Upney;District Line;2
Belsize Park;Chalk Farm;Northern Line;2
Belsize Park;Hampstead;Northern Line;2
Bermondsey;Canada Water;Jubilee Line;2
Bermondsey;London Bridge;Jubilee Line;3
Bethnal Green;Liverpool Street;Central Line;3
Bethnal Green;Mile End;Central Line;2
Blackfriars;Mansion House;Circle Line;1
Blackfriars;Mansion House;District Line;1
Blackfriars;Temple;Circle Line;2
Blackfriars;Temple;District Line;2
Blackhorse Road;Tottenham Hale;Victoria Line;2
Blackhorse Road;Walthamstow Central;Victoria Line;2
Blackwall;East India;Docklands Light Railway;2
Blackwall;Poplar;Docklands Light Railway;2
Bond Street;Green Park;Jubilee Line;2
Bond Street;Marble Arch;Central Line;1
Bond Street;Oxford Circus;Central Line;1
Borough;Elephant & Castle;Northern Line;1
Borough;London Bridge;Northern Line;2
Boston Manor;Northfields;Piccadilly Line;2
Boston Manor;Osterley;Piccadilly Line;3
Bounds Green;Wood Green;Piccadilly Line;2
Bow Church;Devons Road;Docklands Light Railway;2
Bow Church;Pudding Mill Lane;Docklands Light Railway;2
Bow Road;Bromley-By-Bow;District Line;2
Bow Road;Bromley-By-Bow;Hammersmith & City Line;2
Bow Road;Mile End;District Line;1
Bow Road;Mile End;Hammersmith & City Line;1
Brent Cross;Golders Green;Northern Line;3
Brent Cross;Hendon Central;Northern Line;2
Brixton;Stockwell;Victoria Line;2
Bromley-By-Bow;West Ham;District Line;2
Bromley-By-Bow;West Ham;Hammersmith & City Line;2
Buckhurst Hill;Loughton;Central Line;3
Buckhurst Hill;Woodford;Central Line;3
Burnt Oak;Colindale;Northern Line;2
Burnt Oak;Edgware;Northern Line;3
Caledonian Road;Holloway Road;Piccadilly Line;2
Caledonian Road;King's Cross St. Pancras;Piccadilly Line;5
Camden Town;Chalk Farm;Northern Line;2
Camden Town;Euston;Northern Line;3
Camden Town;Kentish Town;Northern Line;2
Camden Town;Mornington Crescent;Northern Line;1
Canada Water;Canary Wharf;Jubilee Line;3
Canada Water;Rotherhithe;East London Line;1
Canada Water;Surrey Quays;East London Line;2
Canary Wharf;Heron Quays;Docklands Light Railway;2
Canary Wharf;North Greenwich;Jubilee Line;3
Canary Wharf;West India Quay;Docklands Light Railway;2
Canning Town;East India;Docklands Light Railway;2
Canning Town;North Greenwich;Jubilee Line;3
Canning Town;Royal Victoria;Docklands Light Railway;2
Canning Town;West Ham;Jubilee Line;3
Cannon Street;Mansion House;Circle Line;1
Cannon Street;Mansion House;District Line;1
Cannon Street;Monument;Circle Line;2
Cannon Street;Monument;District Line;2
Canons Park;Queensbury;Jubilee Line;2
Canons Park;Stanmore;Jubilee Line;2
Chalfont & Latimer;Chesham;Metropolitan Line;8
Chalfont & Latimer;Chorleywood;Metropolitan Line;4
Chancery Lane;Holborn;Central Line;1
Chancery Lane;St. Paul's;Central Line;2
Charing Cross;Embankment;Bakerloo Line;1
Charing Cross;Embankment;Northern Line;1
Charing Cross;Leicester Square;Northern Line;2
Charing Cross;Picadilly Circus;Bakerloo Line;2
Chigwell;Grange Hill;Central Line;2
Chigwell;Roding Valley;Central Line;2
Chiswick Park;Acton Town;District Line;2
Chiswick Park;Turnham Green;District Line;2
Chorleywood;Rickmansworth;Metropolitan Line;4
Clapham Common;Clapham North;Northern Line;2
Clapham Common;Clapham South;Northern Line;2
Clapham North;Stockwell;Northern Line;1
Cockfosters;Oakwood;Piccadilly Line;4
Colindale;Hendon Central;Northern Line;3
Colliers Wood;South Wimbledon;Northern Line;2
Colliers Wood;Tooting Broadway;Northern Line;2
Covent Garden;Holborn;Piccadilly Line;1
Covent Garden;Leicester Square;Piccadilly Line;1
Crossharbour & London Arena;Mudchute;Docklands Light Railway;2
Crossharbour & London Arena;South Quay;Docklands Light Railway;2
Croxley;Moor Park;Metropolitan Line;4
Croxley;Watford;Metropolitan Line;3
Custom House;Prince Regent;Docklands Light Railway;2
Custom House;Royal Victoria;Docklands Light Railway;2
Cutty Sark;Greenwich;Docklands Light Railway;2
Cutty Sark;Island Gardens;Docklands Light Railway;2
Cyprus;Gallions Reach;Docklands Light Railway;2
Dagenham East;Dagenham Heathway;District Line;4
Dagenham East;Elm Park;District Line;3
Debden;Loughton;Central Line;2
Debden;Theydon Bois;Central Line;3
Deptford Bridge;Elverson Road;Docklands Light Railway;2
Deptford Bridge;Greenwich;Docklands Light Railway;2
Dollis Hill;Neasden;Jubilee Line;2
Dollis Hill;Willesden Green;Jubilee Line;2
Ealing Broadway;Ealing Common;District Line;4
Ealing Broadway;West Acton;Central Line;3
Ealing Common;Acton Town;District Line;2
Ealing Common;North Ealing;Piccadilly Line;3
Earl's Court;Gloucester Road;District Line;3
Earl's Court;Gloucester Road;Piccadilly Line;2
Earl's Court;High Street Kensington;District Line;3
Earl's Court;Kensington (Olympia);District Line;2
Earl's Court;West Brompton;District Line;2
Earl's Court;West Kensington;District Line;1
East Acton;North Acton;Central Line;2
East Acton;White City;Central Line;3
East Finchley;Finchley Central;Northern Line;4
East Finchley;Highgate;Northern Line;2
East Ham;Upton Park;District Line;2
East Ham;Upton Park;Hammersmith & City Line;2
East Putney;Putney Bridge;District Line;2
East Putney;Southfields;District Line;2
Eastcote;Rayners Lane;Metropolitan Line;2
Eastcote;Rayners Lane;Piccadilly Line;2
Eastcote;Ruislip Manor;Metropolitan Line;2
Eastcote;Ruislip Manor;Piccadilly Line;2
Edgware Road (B);Marylebone;Bakerloo Line;2
Edgware Road (B);Paddington;Bakerloo Line;3
Edgware Road (C);Paddington;Circle Line;3
Edgware Road (C);Paddington;District Line;3
Edgware Road (C);Paddington;Hammersmith & City Line;4
Elephant & Castle;Kennington;Northern Line;2
Elephant & Castle;Lambeth North;Bakerloo Line;3
Elm Park;Hornchurch;District Line;2
Elverson Road;Lewisham;Docklands Light Railway;2
Embankment;Temple;Circle Line;2
Embankment;Temple;District Line;2
Embankment;Waterloo;Bakerloo Line;2
Embankment;Waterloo;Northern Line;2
Embankment;Westminster;Circle Line;2
Embankment;Westminster;District Line;2
Epping;Theydon Bois;Central Line;2
Euston;King's Cross St. Pancras;Northern Line;2
Euston;King's Cross St. Pancras;Victoria Line;2
Euston;Mornington Crescent;Northern Line;2
Euston;Warren Street;Northern Line;1
Euston;Warren Street;Victoria Line;1
Euston Square;Great Portland Street;Circle Line;2
Euston Square;Great Portland Street;Hammersmith & City Line;2
Euston Square;Great Portland Street;Metropolitan Line;2
Euston Square;King's Cross St. Pancras;Circle Line;2
Euston Square;King's Cross St. Pancras;Hammersmith & City Line;2
Euston Square;King's Cross St. Pancras;Metropolitan Line;2
Fairlop;Hainault;Central Line;2
Farringdon;King's Cross St. Pancras;Circle Line;4
Farringdon;King's Cross St. Pancras;Hammersmith & City Line;4
Farringdon;King's Cross St. Pancras;Metropolitan Line;4
Finchley Central;Mill Hill East;Northern Line;3
Finchley Central;West Finchley;Northern Line;2
Finchley Road;Swiss Cottage;Jubilee Line;2
Finchley Road;Wembley Park;Metropolitan Line;7
Finchley Road;West Hampstead;Jubilee Line;1
Finsbury Park;Highbury & Islington;Victoria Line;2
Finsbury Park;Manor House;Piccadilly Line;2
Finsbury Park;Seven Sisters;Victoria Line;4
Fulham Broadway;Parsons Green;District Line;2
Fulham Broadway;West Brompton;District Line;1
Gants Hill;Newbury Park;Central Line;3
Gants Hill;Redbridge;Central Line;2
Gloucester Road;High Street Kensington;Circle Line;4
Gloucester Road;South Kensington;Circle Line;1
Gloucester Road;South Kensington;District Line;1
Gloucester Road;South Kensington;Piccadilly Line;1
Golders Green;Hampstead;Northern Line;4
Goldhawk Road;Hammersmith;Hammersmith & City Line;2
Goldhawk Road;Shepherd's Bush (H);Hammersmith & City Line;1
Goodge Street;Tottenham Court Road;Northern Line;1
Goodge Street;Warren Street;Northern Line;2
Grange Hill;Hainault;Central Line;3
Green Park;Hyde Park Corner;Piccadilly Line;2
Green Park;Oxford Circus;Victoria Line;2
Green Park;Picadilly Circus;Piccadilly Line;1
Green Park;Victoria;Victoria Line;2
Green Park;Westminster;Jubilee Line;3
Greenford;Northolt;Central Line;2
Greenford;Perivale;Central Line;2
Gunnersbury;Kew Gardens;District Line;3
Gunnersbury;Turnham Green;District Line;3
Hammersmith;Ravenscourt Park;District Line;2
Hammersmith;Turnham Green;Piccadilly Line;2
Hanger Lane;North Acton;Central Line;3
Hanger Lane;Perivale;Central Line;2
Harlesden;Stonebridge Park;Bakerloo Line;2
Harlesden;Willesden Junction;Bakerloo Line;2
Harrow & Wealdston;Kenton;Bakerloo Line;2
Harrow-on-the-Hill;North Harrow;Metropolitan Line;3
Harrow-on-the-Hill;Northwick Park;Metropolitan Line;2
Harrow-on-the-Hill;West Harrow;Metropolitan Line;2
Hatton Cross;Heathrow Terminal 4;Piccadilly Line;3
Hatton Cross;Heathrow Terminals 1, 2 & 3;Piccadilly Line;3
Hatton Cross;Hounslow West;Piccadilly Line;4
Heathrow Terminals 1, 2 & 3;Heathrow Terminal 4;Piccadilly Line;5
Heron Quays;South Quay;Docklands Light Railway;2
High Barnet;Totteridge & Whetstone;Northern Line;3
High Street Kensington;Notting Hill Gate;Circle Line;3
High Street Kensington;Notting Hill Gate;District Line;3
Highbury & Islington;King's Cross St. Pancras;Victoria Line;4
Hillingdon;Ickenham;Metropolitan Line;2
Hillingdon;Ickenham;Piccadilly Line;2
Hillingdon;Uxbridge;Metropolitan Line;3
Hillingdon;Uxbridge;Piccadilly Line;3
Holborn;Russell Square;Piccadilly Line;2
Holborn;Tottenham Court Road;Central Line;2
Holland Park;Notting Hill Gate;Central Line;2
Holland Park;Shepherd's Bush (C);Central Line;1
Hornchurch;Upminster Bridge;District Line;2
Hounslow Central;Hounslow East;Piccadilly Line;2
Hounslow Central;Hounslow West;Piccadilly Line;2
Hounslow East;Osterley;Piccadilly Line;2
Hyde Park Corner;Knightsbridge;Piccadilly Line;2
Ickenham;Ruislip;Metropolitan Line;3
Ickenham;Ruislip;Piccadilly Line;3
Island Gardens;Mudchute;Docklands Light Railway;2
Kennington;Oval;Northern Line;2
Kennington;Waterloo;Northern Line;3
Kensal Green;Queen's Park;Bakerloo Line;3
Kensal Green;Willesden Junction;Bakerloo Line;3
Kentish Town;Tufnell Park;Northern Line;2
Kenton;South Kenton;Bakerloo Line;2
Kew Gardens;Richmond;District Line;3
Kilburn;West Hampstead;Jubilee Line;2
Kilburn;Willesden Green;Jubilee Line;2
Kilburn Park;Maida Vale;Bakerloo Line;2
Kilburn Park;Queen's Park;Bakerloo Line;2
King's Cross St. Pancras;Russell Square;Piccadilly Line;2
Kingsbury;Queensbury;Jubilee Line;2
Kingsbury;Wembley Park;Jubilee Line;4
Knightsbridge;South Kensington;Piccadilly Line;3
Ladbroke Grove;Latimer Road;Hammersmith & City Line;1
Ladbroke Grove;Westbourne Park;Hammersmith & City Line;2
Lambeth North;Waterloo;Bakerloo Line;1
Lancaster Gate;Marble Arch;Central Line;3
Lancaster Gate;Queensway;Central Line;1
Latimer Road;Shepherd's Bush (H);Hammersmith & City Line;2
Leicester Square;Picadilly Circus;Piccadilly Line;2
Leicester Square;Tottenham Court Road;Northern Line;1
Leyton;Leytonstone;Central Line;3
Leyton;Stratford;Central Line;2
Leytonstone;Snaresbrook;Central Line;2
Leytonstone;Wanstead;Central Line;2
Limehouse;Shadwell;Docklands Light Railway;2
Limehouse;Westferry;Docklands Light Railway;2
Liverpool Street;Moorgate;Circle Line;2
Liverpool Street;Moorgate;Hammersmith & City Line;2
Liverpool Street;Moorgate;Metropolitan Line;2
London Bridge;Southwark;Jubilee Line;2
Maida Vale;Warwick Avenue;Bakerloo Line;1
Manor House;Turnpike Lane;Piccadilly Line;3
Mile End;Stepney Green;District Line;2
Mile End;Stepney Green;Hammersmith & City Line;2
Mile End;Stratford;Central Line;4
Monument;Tower Hill;Circle Line;2
Monument;Tower Hill;District Line;2
Moor Park;Northwood;Metropolitan Line;3
Moor Park;Rickmansworth;Metropolitan Line;4
Moorgate;Old Street;Northern Line;1
Morden;South Wimbledon;Northern Line;4
Neasden;Wembley Park;Jubilee Line;4
New Cross;Surrey Quays;East London Line;4
New Cross Gate;Surrey Quays;East London Line;4
North Acton;West Acton;Central Line;2
North Ealing;Park Royal;Piccadilly Line;2
North Harrow;Pinner;Metropolitan Line;3
North Wembley;South Kenton;Bakerloo Line;2
North Wembley;Wembley Central;Bakerloo Line;2
Northfields;South Ealing;Piccadilly Line;1
Northolt;South Ruislip;Central Line;3
Northwick Park;Preston Road;Metropolitan Line;2
Northwood;Northwood Hills;Metropolitan Line;2
Northwood Hills;Pinner;Metropolitan Line;2
Notting Hill Gate;Queensway;Central Line;2
Oakwood;Southgate;Piccadilly Line;3
Oval;Stockwell;Northern Line;3
Oxford Circus;Picadilly Circus;Bakerloo Line;2
Oxford Circus;Regent's Park;Bakerloo Line;2
Oxford Circus;Tottenham Court Road;Central Line;2
Oxford Circus;Warren Street;Victoria Line;2
Paddington;Royal Oak;Hammersmith & City Line;1
Paddington;Warwick Avenue;Bakerloo Line;2
Parsons Green;Putney Bridge;District Line;3
Pimlico;Vauxhall;Victoria Line;1
Pimlico;Victoria;Victoria Line;3
Plaistow;Upton Park;District Line;2
Plaistow;Upton Park;Hammersmith & City Line;2
Plaistow;West Ham;District Line;2
Plaistow;West Ham;Hammersmith & City Line;2
Poplar;West India Quay;Docklands Light Railway;2
Poplar;Westferry;Docklands Light Railway;2
Preston Road;Wembley Park;Metropolitan Line;3
Prince Regent;Royal Albert;Docklands Light Railway;2
Pudding Mill Lane;Stratford;Docklands Light Railway;2
Ravenscourt Park;Stamford Brook;District Line;2
Rayners Lane;South Harrow;Piccadilly Line;3
Rayners Lane;West Harrow;Metropolitan Line;3
Redbridge;Wanstead;Central Line;2
Roding Valley;Woodford;Central Line;3
Rotherhithe;Wapping;East London Line;1
Royal Oak;Westbourne Park;Hammersmith & City Line;2
Ruislip;Ruislip Manor;Metropolitan Line;2
Ruislip;Ruislip Manor;Piccadilly Line;2
Ruislip Gardens;South Ruislip;Central Line;1
Ruislip Gardens;West Ruislip;Central Line;3
Seven Sisters;Tottenham Hale;Victoria Line;3
Shadwell;Tower Gateway;Docklands Light Railway;2
Shadwell;Wapping;East London Line;1
Shadwell;Whitechapel;East London Line;2
Shepherd's Bush (C);White City;Central Line;3
Shoreditch;Whitechapel;East London Line;2
Sloane Square;South Kensington;Circle Line;2
Sloane Square;South Kensington;District Line;2
Sloane Square;Victoria;Circle Line;2
Sloane Square;Victoria;District Line;2
Snaresbrook;South Woodford;Central Line;2
South Harrow;Sudbury Hill;Piccadilly Line;2
South Woodford;Woodford;Central Line;2
Southfields;Wimbledon Park;District Line;3
Southwark;Waterloo;Jubilee Line;1
St. James's Park;Victoria;Circle Line;2
St. James's Park;Victoria;District Line;2
St. James's Park;Westminster;Circle Line;2
St. James's Park;Westminster;District Line;2
St. John's Wood;Swiss Cottage;Jubilee Line;1
Stamford Brook;Turnham Green;District Line;1
Stepney Green;Whitechapel;District Line;3
Stepney Green;Whitechapel;Hammersmith & City Line;3
Stockwell;Vauxhall;Victoria Line;3
Stonebridge Park;Wembley Central;Bakerloo Line;3
Stratford;West Ham;Jubilee Line;3
Sudbury Hill;Sudbury Town;Piccadilly Line;3
Tooting Bec;Tooting Broadway;Northern Line;2
Totteridge & Whetstone;Woodside Park;Northern Line;3
Turnpike Lane;Wood Green;Piccadilly Line;2
Upminster;Upminster Bridge;District Line;3
Waterloo;Westminster;Jubilee Line;2
West Finchley;Woodside Park;Northern Line;1
Westferry;West India Quay;Docklands Light Railway;2
Wimbledon;Wimbledon Park;District Line;3
